Date,Open,High,Low,Close
2015-10-15,9999.639648,10088.469727,9957.389648,10064.799805
2015-10-16,10128.80957,10166.790039,10058.530273,10104.429688
2015-10-19,10084.610352,10205.030273,10084.610352,10164.30957
2015-10-20,10174.799805,10194.530273,10080.19043,10147.679688
2015-10-21,10185.419922,10277.589844,10107.919922,10238.099609
2015-10-22,10213.009766,10508.25,10194.740234,10491.969727
2015-10-23,10610.330078,10847.469727,10586.959961,10794.540039
2015-10-26,10791.179688,10863.089844,10756.830078,10801.339844
2015-10-27,10761.370117,10807.410156,10692.19043,10692.19043
2015-10-28,10728.160156,10848.410156,10691.629883,10831.959961
2015-10-29,10867.19043,10886.980469,10741.139648,10800.839844
2015-10-30,10842.519531,10850.580078,10748.700195,10850.139648
2015-11-02,10749.980469,10977.179688,10744.370117,10950.669922
2015-11-03,10945.349609,10972.280273,10883.94043,10951.150391
2015-11-04,10957.05957,10990.719727,10825.549805,10845.240234
2015-11-05,10847.5,10963.900391,10784.280273,10887.740234
2015-11-06,10872.980469,11055.450195,10843.480469,10988.030273
2015-11-09,10993.240234,10995.480469,10807.169922,10815.450195
2015-11-10,10846.959961,10863.55957,10728.950195,10832.519531
2015-11-11,10843.679688,10994.540039,10843.679688,10907.870117
2015-11-12,10895.740234,10957.610352,10735.169922,10782.629883
2015-11-13,10764.570313,10811.780273,10607.459961,10708.400391
2015-11-16,10609.139648,10763.650391,10608.830078,10713.230469
2015-11-17,10810.919922,10971.040039,10782.910156,10971.040039
2015-11-18,10901.740234,10989.549805,10877.599609,10959.950195
2015-11-19,11061.879883,11150.740234,11045.530273,11085.44043
2015-11-20,11123.80957,11164.299805,11049.349609,11119.830078
2015-11-23,11105.919922,11126.339844,11049.990234,11092.30957
2015-11-24,11064.780273,11064.959961,10869.200195,10933.990234
2015-11-25,10958.400391,11186.679688,10921.709961,11169.540039
2015-11-26,11180.94043,11366.370117,11176.55957,11320.769531
2015-11-27,11277.910156,11354.009766,11247.139648,11293.759766
2015-11-30,11268.30957,11430.870117,11253.370117,11382.230469
2015-12-01,11422.469727,11430.379883,11235.969727,11261.240234
2015-12-02,11301.509766,11329.790039,11188.030273,11190.019531
2015-12-03,11173.790039,11318.799805,10780.629883,10789.240234
2015-12-04,10770.160156,10814.820313,10632.769531,10752.099609
2015-12-07,10832.419922,10992.549805,10806.519531,10886.089844
2015-12-08,10872.679688,10895.5,10616.240234,10673.599609
2015-12-09,10719.700195,10719.700195,10554.540039,10592.490234
2015-12-10,10547.519531,10662.769531,10500.030273,10598.929688
2015-12-11,10572.860352,10596.030273,10294.25,10340.05957
2015-12-14,10406.709961,10448.650391,10122.950195,10139.339844
2015-12-15,10239.799805,10482.75,10237.480469,10450.379883
2015-12-16,10476.05957,10572.549805,10423.780273,10469.259766
2015-12-17,10685.299805,10829.620117,10656.389648,10738.120117
2015-12-18,10639.980469,10735.849609,10543.049805,10608.19043
2015-12-21,10607.200195,10796.030273,10497.769531,10497.769531
2015-12-22,10598.19043,10623.980469,10400.610352,10488.75
2015-12-23,10623.55957,10743.320313,10595.269531,10727.639648
2015-12-28,10748.370117,10756.169922,10627.459961,10653.910156
2015-12-29,10744.959961,10860.139648,10731.629883,10860.139648
2015-12-30,10855.169922,10857.429688,10743.009766,10743.009766
2016-01-04,10485.80957,10485.910156,10248.580078,10283.44043
2016-01-05,10373.269531,10384.259766,10173.519531,10310.099609
2016-01-06,10288.679688,10288.679688,10094.179688,10214.019531
2016-01-07,10144.169922,10145.469727,9810.469727,9979.849609
2016-01-08,10010.469727,10122.459961,9849.339844,9849.339844
2016-01-11,9814.040039,9978.69043,9813.019531,9825.070313
2016-01-12,9832.820313,10092.669922,9832.820313,9985.429688
2016-01-13,10112.349609,10164.049805,9929.070313,9960.959961
2016-01-14,9836.849609,9884.269531,9614.769531,9794.200195
2016-01-15,9778.360352,9832.919922,9459.089844,9545.269531
2016-01-18,9542.599609,9657.94043,9457.950195,9521.849609
2016-01-19,9722.639648,9756.139648,9626.650391,9664.209961
2016-01-20,9430.129883,9490.450195,9314.570313,9391.639648
2016-01-21,9400.69043,9656.330078,9348.740234,9574.160156
2016-01-22,9762.549805,9837.620117,9704.900391,9764.879883
2016-01-25,9790.44043,9800.490234,9681.700195,9736.150391
2016-01-26,9599.55957,9867.179688,9563.639648,9822.75
